dataset	regnet	aucodds
human_gtex	regcircuit_001	0.0276060093
human_gtex	regcircuit_002	0.0517766497
human_gtex	regcircuit_005	0.0589473414
human_gtex	regcircuit_01	0.0773214377
human_gtex	regcircuit_02	0.1044634159
human_gtex	regcircuit_05	0.0844600831
human_gtex	regcircuit_1	0.0890002564
human_gtex	regcircuit_2	0.0946956878
human_gtex	regcircuit_5	0.0003973748
human_seek_gpl5175	regcircuit_001	0.0426668257
human_seek_gpl5175	regcircuit_002	0.0453272886
human_seek_gpl5175	regcircuit_005	0.0566173546
human_seek_gpl5175	regcircuit_01	0.0730454148
human_seek_gpl5175	regcircuit_02	0.0934144596
human_seek_gpl5175	regcircuit_05	0.1198838782
human_seek_gpl5175	regcircuit_1	0.134721228
human_seek_gpl5175	regcircuit_2	0.0831066571
human_seek_gpl5175	regcircuit_5	0
human_tcga	regcircuit_001	0.0383395814
human_tcga	regcircuit_002	0.04605592
human_tcga	regcircuit_005	0.0518666042
human_tcga	regcircuit_01	0.0745339998
human_tcga	regcircuit_02	0.1044881808
human_tcga	regcircuit_05	0.1325184838
human_tcga	regcircuit_1	0.1403415599
human_tcga	regcircuit_2	0.0863454129
human_tcga	regcircuit_5	0.0008799334
