dataset	regnet	aucodds
human_gtex	regcircuit_001	0.0021385465
human_gtex	regcircuit_002	0.0023279974
human_gtex	regcircuit_005	0.0020522339
human_gtex	regcircuit_01	0.0029799973
human_gtex	regcircuit_02	0.0060636361
human_gtex	regcircuit_05	0.0212847528
human_gtex	regcircuit_1	0.0751485748
human_gtex	regcircuit_2	0.112976581
human_gtex	regcircuit_5	0.0469831897
human_seek_gpl5175	regcircuit_001	0.0026600054
human_seek_gpl5175	regcircuit_002	0.0022870645
human_seek_gpl5175	regcircuit_005	0.0028992799
human_seek_gpl5175	regcircuit_01	0.0048421399
human_seek_gpl5175	regcircuit_02	0.0114973385
human_seek_gpl5175	regcircuit_05	0.0435446184
human_seek_gpl5175	regcircuit_1	0.1168339468
human_seek_gpl5175	regcircuit_2	0.0965409179
human_seek_gpl5175	regcircuit_5	0.0085199705
human_tcga	regcircuit_001	0.0015234663
human_tcga	regcircuit_002	0.0020798417
human_tcga	regcircuit_005	0.0026521164
human_tcga	regcircuit_01	0.0027784434
human_tcga	regcircuit_02	0.0131812389
human_tcga	regcircuit_05	0.0209489345
human_tcga	regcircuit_1	0.1082582196
human_tcga	regcircuit_2	0.1256510304
human_tcga	regcircuit_5	0.0476139509
