dataset	regnet	aucodds
human_gtex	regcircuit_001	0.0027411168
human_gtex	regcircuit_002	0.0028687894
human_gtex	regcircuit_005	0.0035625288
human_gtex	regcircuit_01	0.0038481259
human_gtex	regcircuit_02	0.0082043788
human_gtex	regcircuit_05	0.0275711429
human_gtex	regcircuit_1	0.0895600677
human_gtex	regcircuit_2	0.1491432087
human_gtex	regcircuit_5	0.0763518433
human_seek_gpl5175	regcircuit_001	0.0030565497
human_seek_gpl5175	regcircuit_002	0.0031368806
human_seek_gpl5175	regcircuit_005	0.0037310109
human_seek_gpl5175	regcircuit_01	0.0060367454
human_seek_gpl5175	regcircuit_02	0.0139187147
human_seek_gpl5175	regcircuit_05	0.0485556351
human_seek_gpl5175	regcircuit_1	0.1382319256
human_seek_gpl5175	regcircuit_2	0.1285619979
human_seek_gpl5175	regcircuit_5	0.0124409449
human_tcga	regcircuit_001	0.0022586692
human_tcga	regcircuit_002	0.002590857
human_tcga	regcircuit_005	0.0034197647
human_tcga	regcircuit_01	0.0040487348
human_tcga	regcircuit_02	0.0114844319
human_tcga	regcircuit_05	0.0296074143
human_tcga	regcircuit_1	0.1082182651
human_tcga	regcircuit_2	0.1319483495
human_tcga	regcircuit_5	0.0585353535
