	datasetoi	datasetor	goldstandardoi	goldstandardor	method	moduledef	ofinterest	ofreference	organismoi	runningtime	score	organismnetoi	organismnetor	weight
2	ecoli_colombos	human_gtex	ecoli_regulondb#ap1	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap1	human_gtex#regcircuit	ecoli	0.001482248306274414	0.8533050770582398	ecoli	regcircuit	0.0026455026455026454
3	ecoli_colombos	human_seek_gpl5175	ecoli_regulondb#ap1	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap1	human_seek_gpl5175#regcircuit	ecoli	0.001482248306274414	0.8533050770582398	ecoli	regcircuit	0.0026455026455026454
4	ecoli_colombos	human_tcga	ecoli_regulondb#ap1	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap1	human_tcga#regcircuit	ecoli	0.001482248306274414	0.8533050770582398	ecoli	regcircuit	0.0026455026455026454
5	ecoli_colombos	yeast_dream5	ecoli_regulondb#ap1	yeast_macisaac#ap1	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap1	yeast_dream5#yeast_macisaac#ap1	ecoli	0.001482248306274414	0.8533050770582398	ecoli	yeast	0.0026455026455026454
6	ecoli_colombos	yeast_dream5	ecoli_regulondb#ap1	yeast_sisima#ap1	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap1	yeast_dream5#yeast_sisima#ap1	ecoli	0.00154876708984375	0.9098429519951668	ecoli	yeast	0.0026455026455026454
7	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#ap1	yeast_macisaac#ap1	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap1	yeast_gpl2529#yeast_macisaac#ap1	ecoli	0.001482248306274414	0.8533050770582398	ecoli	yeast	0.0026455026455026454
8	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#ap1	yeast_sisima#ap1	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap1	yeast_gpl2529#yeast_sisima#ap1	ecoli	0.00154876708984375	0.9098429519951668	ecoli	yeast	0.0026455026455026454
11	ecoli_colombos	human_gtex	ecoli_regulondb#ap2	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap2	human_gtex#regcircuit	ecoli	0.001482248306274414	0.0	ecoli	regcircuit	0.0026455026455026454
12	ecoli_colombos	human_seek_gpl5175	ecoli_regulondb#ap2	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap2	human_seek_gpl5175#regcircuit	ecoli	0.001482248306274414	0.0	ecoli	regcircuit	0.0026455026455026454
13	ecoli_colombos	human_tcga	ecoli_regulondb#ap2	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap2	human_tcga#regcircuit	ecoli	0.001482248306274414	0.0	ecoli	regcircuit	0.0026455026455026454
14	ecoli_colombos	yeast_dream5	ecoli_regulondb#ap2	yeast_macisaac#ap2	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap2	yeast_dream5#yeast_macisaac#ap2	ecoli	0.00154876708984375	0.591771109520227	ecoli	yeast	0.0026455026455026454
15	ecoli_colombos	yeast_dream5	ecoli_regulondb#ap2	yeast_sisima#ap2	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap2	yeast_dream5#yeast_sisima#ap2	ecoli	0.00154876708984375	0.591771109520227	ecoli	yeast	0.0026455026455026454
16	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#ap2	yeast_macisaac#ap2	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap2	yeast_gpl2529#yeast_macisaac#ap2	ecoli	0.00154876708984375	0.591771109520227	ecoli	yeast	0.0026455026455026454
17	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#ap2	yeast_sisima#ap2	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap2	yeast_gpl2529#yeast_sisima#ap2	ecoli	0.00154876708984375	0.591771109520227	ecoli	yeast	0.0026455026455026454
20	ecoli_colombos	human_gtex	ecoli_regulondb#ap3	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap3	human_gtex#regcircuit	ecoli	0.001482248306274414	0.9030528252041724	ecoli	regcircuit	0.0026455026455026454
21	ecoli_colombos	human_seek_gpl5175	ecoli_regulondb#ap3	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap3	human_seek_gpl5175#regcircuit	ecoli	0.001482248306274414	0.9030528252041724	ecoli	regcircuit	0.0026455026455026454
22	ecoli_colombos	human_tcga	ecoli_regulondb#ap3	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap3	human_tcga#regcircuit	ecoli	0.001482248306274414	0.9030528252041724	ecoli	regcircuit	0.0026455026455026454
23	ecoli_colombos	yeast_dream5	ecoli_regulondb#ap3	yeast_macisaac#ap3	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap3	yeast_dream5#yeast_macisaac#ap3	ecoli	0.001482248306274414	0.9030528252041724	ecoli	yeast	0.0026455026455026454
24	ecoli_colombos	yeast_dream5	ecoli_regulondb#ap3	yeast_sisima#ap3	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap3	yeast_dream5#yeast_sisima#ap3	ecoli	0.00154876708984375	0.8832984083247222	ecoli	yeast	0.0026455026455026454
25	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#ap3	yeast_macisaac#ap3	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap3	yeast_gpl2529#yeast_macisaac#ap3	ecoli	0.001649618148803711	1.1077945027203733	ecoli	yeast	0.0026455026455026454
26	ecoli_colombos	yeast_gpl2529	ecoli_regulondb#ap3	yeast_sisima#ap3	dummy	interconnected	ecoli_colombos#ecoli_regulondb#ap3	yeast_gpl2529#yeast_sisima#ap3	ecoli	0.00154876708984375	0.8832984083247222	ecoli	yeast	0.0026455026455026454
29	ecoli_colombos	human_gtex	ecoli_regulondb#mcl1	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl1	human_gtex#regcircuit	ecoli	0.001482248306274414	0.8370093565397526	ecoli	regcircuit	0.0026455026455026454
30	ecoli_colombos	human_seek_gpl5175	ecoli_regulondb#mcl1	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl1	human_seek_gpl5175#regcircuit	ecoli	0.001482248306274414	0.8370093565397526	ecoli	regcircuit	0.0026455026455026454
31	ecoli_colombos	human_tcga	ecoli_regulondb#mcl1	regcircuit	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl1	human_tcga#regcircuit	ecoli	0.001482248306274414	0.8370093565397526	ecoli	regcircuit	0.0026455026455026454
32	ecoli_colombos	yeast_dream5	ecoli_regulondb#mcl1	yeast_macisaac#mcl1	dummy	interconnected	ecoli_colombos#ecoli_regulondb#mcl1	yeast_dream5#yeast_macisaac#mcl1	ecoli	0.0015819072723388672	1.0130522436752047	ecoli	yeast	0.0026455026455026454
